sentence_id,sentence,sentiment_label
0,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,1
1,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",2
2,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",0
3,"Slow, silly and unintentionally hilarious.",1
4,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",0
5,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,2
6,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,0
7,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",2
8,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.",1
9,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,1
10,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",1
11,The film often achieves a mesmerizing poetry.,2
12,A work of astonishing delicacy and force.,2
13,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",0
14,"For the most part, the ingredients are there.",1
15,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",1
16,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",1
17,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",0
18,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",1
19,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",0
20,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",2
21,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,0
22,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,1
23,Another Best of the Year selection.,2
24,It's all a rather shapeless good time...,1
25,"Same song, second verse, coulda been better, but it coulda been worse.",1
26,I love the robust middle of this picture.,2
27,"That's not vintage Spielberg and that, finally, is minimally satisfying.",1
28,The soundtrack alone is worth the price of admission.,2
29,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.,1
30,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",0
31,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",2
32,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",1
33,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.",1
34,"Beautifully observed, miraculously unsentimental comedy-drama.",2
35,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",2
36,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",0
37,Bullock's complete lack of focus and ability quickly derails the film.1,0
38,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",0
39,Crush could be the worst film a man has made about women since Valley of the Dolls.,0
40,"Reassuring, retro uplifter.",2
41,Flaccid drama and exasperatingly slow journey.,0
42,The Movie will reach far beyond its core demographic.,2
43,How did it ever get made?,0
44,I like the new footage and still love the old stuff.,2
45,"It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.",1
46,Could The Country Bears really be as bad as its trailers?,0
47,"At times, the movie looks genuinely pretty.",2
48,It depends on how well flatulence gags fit into your holiday concept.,1
49,"The stupidest, most insulting movie of 2002's first quarter.",0
50,The film seems a dead weight.,0
51,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",2
52,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",0
53,"A lousy movie that's not merely unwatchable, but also unlistenable.",0
54,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,2
55,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",2
56,"But here's the real damn: It isn't funny, either.",0
57,"Qutting may be a flawed film, but it is nothing if not sincere.",1
58,It's a fanboy `what if?',1
59,... something appears to have been lost in the translation this time.,0
60,"Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.",1
61,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",2
62,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",2
63,An intriguing and entertaining introduction to Johnson.,2
64,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,0
65,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...",1
66,`How many more voyages can this limping but dearly-loved franchise survive?',1
67,If only the story about a multi-million dollar con bothered to include the con.,1
68,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",0
69,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.",1
70,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",0
71,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",2
72,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",0
73,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",2
74,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",2
75,"Since Lee is a sentimentalist, the film is more worshipful than your random E!",1
76,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",0
77,"High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.",1
78,But it's too long and too convoluted and it ends in a muddle.,0
79,This thing works on no level whatsoever for me.,0
80,... a bland murder-on-campus yawner.,0
81,"""In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life despite the title... amounts to surprisingly little.""",0
82,"One of the finest, most humane and important Holocaust movies ever made.",2
83,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",0
84,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.",1
85,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.",1
86,Features one of the most affecting depictions of a love affair ever committed to film.,2
87,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,2
88,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",0
89,"... a solid, well-formed satire.",2
90,Deserves high marks for political courage but barely gets by on its artistic merits.,1
91,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,2
92,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.",1
93,Reeks of rot and hack work from start to finish.,1
94,Just how these families interact may surprise you.,1
95,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",0
96,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",0
97,"Creepy, authentic and dark.",1
98,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,0
99,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",0
100,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",1
101,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.",1
102,At 78 minutes it just zings along with vibrance and warmth.,2
103,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",2
104,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",2
105,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",0
106,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,0
107,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,2
108,"Just about the best straight-up, old-school horror film of the last 15 years.",2
109,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",2
110,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",2
111,Better at putting you to sleep than a sound machine.,0
112,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,0
113,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",2
