id,Sent_ID,Word_ID,Word,nFixations,meanPupilSize,GD,TRT,FFD,SFD,GPT,WordLen
0,0_NR,0,presents,1,882,166,166,166,166,166,8
1,0_NR,1,a,1,1017,162,162,162,162,162,1
2,0_NR,2,good,2,1002.5,186,291,186,0,186,4
3,0_NR,3,case,1,959,56,56,56,56,323,4
4,0_NR,4,while,1,1094,119,119,119,119,119,5
5,0_NR,5,failing,1,1118,110,110,110,110,110,7
6,0_NR,6,to,1,1095,125,125,125,125,125,2
7,0_NR,7,provide,2,1110.5,137,295,137,0,137,7
8,0_NR,8,a,0,0,0,0,0,0,0,1
9,0_NR,9,reason,1,1083,138,138,138,138,138,6
10,0_NR,10,for,0,0,0,0,0,0,0,3
11,0_NR,11,us,0,0,0,0,0,0,0,2
12,0_NR,12,to,0,0,0,0,0,0,0,2
13,0_NR,13,care,1,1134,161,161,161,161,161,4
14,0_NR,14,beyond,2,1015.5,54,181,54,0,1646,6
15,0_NR,15,the,1,1093,87,87,87,87,87,3
16,0_NR,16,very,1,1087,146,146,146,146,304,4
17,0_NR,17,basic,1,1108,117,117,117,117,117,5
18,0_NR,18,dictums,2,1083.5,283,283,138,0,283,7
19,0_NR,19,of,0,0,0,0,0,0,0,2
20,0_NR,20,human,1,1080,156,156,156,156,156,5
21,0_NR,21,decency,1,1046,149,149,149,149,453,7
22,1_NR,0,beautifully,1,1182,126,126,126,126,126,11
23,1_NR,1,crafted,1,1164,172,172,172,172,172,7
24,1_NR,2,engaging,2,1179.5,275,275,154,0,275,8
25,1_NR,3,filmmaking,1,1194,147,147,147,147,147,10
26,1_NR,4,that,0,0,0,0,0,0,0,4
27,1_NR,5,should,2,1162,228,228,135,0,228,6
28,1_NR,6,attract,0,0,0,0,0,0,0,7
29,1_NR,7,upscale,1,1195,78,78,78,78,78,7
30,1_NR,8,audiences,2,1176,152,341,152,0,419,9
31,1_NR,9,hungry,1,1147,182,182,182,182,182,6
32,1_NR,10,for,0,0,0,0,0,0,0,3
33,1_NR,11,quality,1,1167,88,88,88,88,88,7
34,1_NR,12,and,1,1164,147,147,147,147,147,3
35,1_NR,13,a,0,0,0,0,0,0,0,1
36,1_NR,14,nostalgic,2,1144,224,224,126,0,224,9
37,1_NR,15,twisty,1,1100,192,192,192,192,192,6
38,1_NR,16,yarn,0,0,0,0,0,0,0,4
39,1_NR,17,that,2,1176.5,247,247,112,0,247,4
40,1_NR,18,will,0,0,0,0,0,0,0,4
41,1_NR,19,keep,1,1081,97,97,97,97,97,4
42,1_NR,20,them,1,1040,87,87,87,87,87,4
43,1_NR,21,guessing,1,1058,230,230,230,230,230,8
44,2_NR,0,bread,1,1214,141,141,141,141,141,5
45,2_NR,1,My,2,1179,272,342,272,0,272,2
46,2_NR,2,Sweet,5,1200.8,62,536,62,0,1019,5
47,2_NR,3,has,1,1231,74,74,74,74,74,3
48,2_NR,4,so,0,0,0,0,0,0,0,2
49,2_NR,5,many,1,1218,109,109,109,109,109,4
50,2_NR,6,flaws,1,1204,128,128,128,128,128,5
51,2_NR,7,it,1,1187,103,103,103,103,103,2
52,2_NR,8,would,1,1157,105,105,105,105,105,5
53,2_NR,9,be,0,0,0,0,0,0,0,2
54,2_NR,10,easy,1,1140,137,137,137,137,137,4
55,2_NR,11,for,0,0,0,0,0,0,0,3
56,2_NR,12,critics,0,0,0,0,0,0,0,7
57,2_NR,13,to,1,1199,193,193,193,193,193,2
58,2_NR,14,shred,2,1186.5,78,192,78,0,385,5
59,2_NR,15,it,1,1206,284,284,284,284,284,2
60,3_NR,0,slow,0,0,0,0,0,0,0,4
61,3_NR,1,silly,4,1209.5,353,481,79,0,353,5
62,3_NR,2,and,2,1216.5,97,199,97,0,327,3
63,3_NR,3,unintentionally,4,1225.25,250,492,181,0,250,15
64,3_NR,4,hilarious,2,1195,211,211,95,0,453,9
65,4_NR,0,ultimately,2,989.5,264,264,84,0,264,10
66,4_NR,1,feels,1,1067,154,154,154,154,154,5
67,4_NR,2,emp11111ty,3,1094.3333333333333,366,366,93,0,366,10
